n,mean,median,std,p25,p75,p10,p90,p_positive,min,max,view,metric,bin,horizon
999,0.0010386815362811428,-0.0003027856277755,0.06677468429341839,-0.011537265219083999,0.0080942635073684,-0.024854155076881018,0.021732526474487222,0.4774774774774775,-0.4976830398517145,1.392,dedup,rsi_distance,fail_5_10,fwd_240m
4603,0.00010184404734683322,-0.0017786561264822,0.1001415073880452,-0.01135990028765965,0.00660224330437095,-0.0273037542662116,0.019691647358495067,0.42472300673473823,-0.8975757575757576,3.5118019573978123,dedup,rsi_distance,passing_side,fwd_240m
2655,-0.00041221740047747284,-0.000429307384087,0.052280100638575376,-0.0090614886731391,0.009533243453862049,-0.0249343832020997,0.025635625997525856,0.4775894538606403,-0.8975757575757576,0.5871999999999998,dedup,sma_spread_distance,fail_0.25_1,fwd_240m
1833,0.0063688270963822066,-0.0010869565217391,0.17745011010760442,-0.0167161961367012,0.0097656249999999,-0.0457516339869281,0.03425400238261393,0.4429896344789962,-0.3952262003885651,3.5118019573978123,dedup,sma_spread_distance,fail_0_0.25,fwd_240m
2586,0.004162877914336381,0.0003125151668184,0.045380612806078066,-0.00888856585833005,0.011011087438958225,-0.022354484741354548,0.028577183335494548,0.508507347254447,-0.1994750656167979,1.392,dedup,sma_spread_distance,fail_1_5,fwd_240m
1004,0.0011043311174211428,0.0006216497266923,0.018112763424214195,-0.008434802343811425,0.009464311072634774,-0.01770702669510912,0.022127208682429726,0.5239043824701195,-0.1428378378378379,0.0805806858826004,dedup,sma_spread_distance,fail_5p,fwd_240m
2974,0.006829898283179088,0.0028620663078886503,0.07626666471400807,-0.010986323459149551,0.01851149757694315,-0.035762502099060414,0.04629102807075368,0.5659045057162071,-0.5058717253839206,1.564102564102564,dedup,sma_spread_distance,passing_side,fwd_240m
879,-0.0034604075899474294,-0.001526402640264,0.049976388643266284,-0.0135518977732821,0.0070225273207874,-0.035235158470531346,0.0217391304347827,0.4402730375426621,-0.5080906148867314,0.4769230769230768,dedup,rsi_distance,fail_0_2,fwd_next_session_open
3551,0.001113480439883195,0.0012256940492553,0.04392578001579712,-0.01094841076483345,0.011036925281115051,-0.0322580645161289,0.0322814653608995,0.5533652492255703,-0.5483288166214996,0.4886768447837148,dedup,rsi_distance,fail_10_20,fwd_next_session_open
4370,0.007767496532698303,0.0020537020198356003,0.06551107165045453,-0.0121633774605499,0.021578336167661874,-0.04135738917695592,0.05647542732814203,0.5675057208237986,-0.5444839857651246,0.9461805555555558,dedup,rsi_distance,fail_20p,fwd_next_session_open
1294,-0.004642786322000513,-0.0010715783397288,0.04433179513538245,-0.014729180491041825,0.007886819111951625,-0.031463450629193306,0.020840449756345376,0.455177743431221,-0.34375,0.4829999999999998,dedup,rsi_distance,fail_2_5,fwd_next_session_open
1986,-0.0007533966872318719,-0.00026750764448429996,0.06360500054342454,-0.012016974970308025,0.006950926238663925,-0.030482782175432897,0.0233216355630692,0.48036253776435045,-0.5412844036697247,1.995555555555556,dedup,rsi_distance,fail_5_10,fwd_next_session_open
8218,0.002643178271776539,-0.00237246162776945,0.2603310728192921,-0.010601529447960875,0.00508092467616415,-0.027546017140461867,0.01842334983919537,0.3895108298856169,-0.8125454545454546,14.341043190936984,dedup,rsi_distance,passing_side,fwd_next_session_open
5363,0.005987248803558704,-0.0014345588028465,0.3108541467522828,-0.0093698072589054,0.00685911967130545,-0.025480350158316175,0.021921559903571582,0.4363229535707626,-0.8125454545454546,14.341043190936984,dedup,sma_spread_distance,fail_0.25_1,fwd_next_session_open
4463,-0.0011544284714340187,-0.0010229132569558,0.10462425595808593,-0.01411915729064405,0.0065852434484268505,-0.0409743589743589,0.027619728305376467,0.4326686085592651,-0.5080906148867314,3.4526962195355977,dedup,sma_spread_distance,fail_0_0.25,fwd_next_session_open
3776,0.00262293461358636,-0.0005918042110206,0.0473655239179193,-0.00987944950832075,0.009719352733156399,-0.0240018115942028,0.02986682166851225,0.4806673728813559,-0.4251968503937008,1.995555555555556,dedup,sma_spread_distance,fail_1_5,fwd_next_session_open
1131,0.0012039435017154316,0.0008062194068527,0.02189190407855492,-0.008769744010735,0.01059074999158835,-0.0185770750988143,0.0232091051104664,0.5181255526083113,-0.2297297297297298,0.0888324873096446,dedup,sma_spread_distance,fail_5p,fwd_next_session_open
5565,0.001949792644651194,0.0004433934377771,0.05902227208265247,-0.0152702702702702,0.0134480486765105,-0.04092085051338022,0.042247600508968294,0.521832884097035,-0.5483288166214996,0.9461805555555558,dedup,sma_spread_distance,passing_side,fwd_next_session_open
