n,mean,median,std,p25,p75,p10,p90,p_positive,min,max,view,gate_group,horizon
2892,0.00774669644875084,0.0034210529790874,0.07661934692085809,-0.010385328257572974,0.019431925865018674,-0.03582081512716509,0.047809479553903196,0.578838174273859,-0.5058717253839206,1.564102564102564,raw,C_rsi_fail_sma_pass,fwd_240m
5431,0.0023689935708367756,0.0005724917704306,0.05858704145913397,-0.0150759834929814,0.0136719707574881,-0.0408747721947407,0.0429046826717374,0.5277112870557908,-0.5483288166214996,0.9461805555555558,raw,C_rsi_fail_sma_pass,fwd_next_session_open
5872,0.0003631478140191981,-0.0008122590764772,0.045131636963440025,-0.008927190652820575,0.006136279296211874,-0.024380686596834508,0.02127503945201894,0.4451634877384196,-0.3543689320388349,1.48,raw,D_both_fail,fwd_30m
5274,0.0008935654206754071,-0.0009148010520862,0.0813476273190823,-0.01028322980250005,0.00733765015015,-0.028127053542950035,0.02390235142937423,0.44899507015547974,-0.4358974358974358,3.535,raw,D_both_fail,fwd_60m
3680,0.005511924428643287,0.00196899393148345,0.08290043767184264,-0.009351751904230625,0.0151515151515151,-0.026785684762915277,0.038002398886319934,0.5567934782608696,-0.3952262003885651,2.84495,raw,D_both_fail,fwd_240m
6876,0.002200500472761932,0.0006820682068206,0.0547837702309346,-0.010789714421129325,0.011968183871568,-0.0308953752518109,0.034608318647557,0.5280686445607912,-0.5080906148867314,1.995555555555556,raw,D_both_fail,fwd_next_session_open
64,-0.010174298326760336,0.0011192276124668,0.06816006492386081,-0.04543032658434147,0.018290620398742425,-0.09810555485577525,0.06708897768248707,0.53125,-0.2531969309462916,0.2314410480349344,raw,Z_unknown,fwd_30m
49,-0.013744764515936586,-0.0072645290581162,0.07221102343199812,-0.0585714285714285,0.0230212105535437,-0.10238252975095063,0.05937209093359695,0.42857142857142855,-0.2074168797953963,0.2489082969432313,raw,Z_unknown,fwd_60m
30,-0.008800495742605706,0.0097322765900497,0.10091409843685636,-0.037774725274725224,0.04608419311305552,-0.14154145206469684,0.11866568282122321,0.5333333333333333,-0.2890025575447571,0.2139737991266374,raw,Z_unknown,fwd_240m
160,0.0037267952827444925,0.0004883607357968,0.06036994585804533,-0.0053314235696666,0.01404717354337655,-0.04590268956324004,0.04663684809575503,0.51875,-0.3350639386189258,0.2516184721622788,raw,Z_unknown,fwd_next_session_open
